電力受渡日,商品コード,入札価格(円/kWh),売入札量累積(MW),買入札量累積(MW),分断エリア連番
20250921,1,0.00,0.0,33981.4,
20250921,1,0.00,9641.4,33981.4,
20250921,1,0.01,25216.7,33981.4,
20250921,1,0.02,25477.4,33960.4,
20250921,1,0.03,25524.9,33949.4,
20250921,1,0.04,25570.4,33921.4,
20250921,1,0.05,25572.3,33921.4,
20250921,1,0.10,25572.3,33921.4,
20250921,1,0.27,25575.4,33694.6,
20250921,1,0.57,25626.1,33694.6,
20250921,1,0.79,25628.3,33694.6,
20250921,1,0.86,25635.3,33694.6,
20250921,1,0.91,25636.3,33694.6,
20250921,1,0.92,25883.2,33694.6,
20250921,1,1.00,26260.4,33694.6,
20250921,1,1.05,26263.0,33572.2,
20250921,1,1.10,26263.0,33572.2,
20250921,1,1.47,26264.0,33562.2,
20250921,1,1.57,26266.2,33562.2,
20250921,1,1.72,26273.3,33562.2,
20250921,1,1.81,26274.3,33562.2,
20250921,1,1.82,26275.3,33562.2,
20250921,1,2.01,26275.3,33562.2,
20250921,1,2.09,26277.9,32662.2,
20250921,1,2.25,26277.9,32662.2,
20250921,1,2.36,26280.0,32652.2,
20250921,1,2.37,26281.0,32652.2,
20250921,1,2.50,26282.6,32652.2,
20250921,1,2.57,26289.6,32642.9,
20250921,1,2.71,26290.6,32642.9,
20250921,1,2.72,26291.6,32642.9,
20250921,1,3.00,26346.1,32642.9,
20250921,1,3.01,26346.1,32581.1,
20250921,1,3.14,26350.9,32281.1,
20250921,1,3.27,26351.9,32281.1,
20250921,1,3.43,26359.0,32281.1,
20250921,1,3.60,26359.9,32281.1,
20250921,1,3.61,26360.9,32281.1,
20250921,1,3.62,26361.9,32281.1,
20250921,1,3.92,26364.0,32281.1,
20250921,1,4.00,26403.6,32281.1,
20250921,1,4.17,26404.6,32271.1,
20250921,1,4.18,26407.2,32271.1,
20250921,1,4.28,26414.2,32271.1,
20250921,1,4.31,26414.8,32271.1,
20250921,1,4.50,26415.8,32271.1,
20250921,1,4.51,26416.8,32271.1,
20250921,1,4.52,26417.8,32271.1,
20250921,1,4.55,26417.8,32271.1,
20250921,1,4.70,26418.3,32267.3,
20250921,1,4.71,26419.7,32267.3,
20250921,1,5.00,26527.3,32267.3,
20250921,1,5.01,26527.3,31958.0,
20250921,1,5.07,26528.3,31357.4,
