電力受渡日,商品コード,エリアグループ,分断エリア連番
20260525,1,システムプライス,
20260525,1,北海道・東北・東京,0
20260525,1,北陸・関西・中国,2
20260525,2,システムプライス,
20260525,2,北海道・東北・東京,0
20260525,2,北陸・関西・中国,2
20260525,3,システムプライス,
20260525,3,北海道・東北・東京,0
20260525,3,北陸・関西・中国,2
20260525,4,システムプライス,
20260525,4,北海道・東北・東京,0
20260525,4,北陸・関西・中国,2
20260525,5,システムプライス,
20260525,5,北海道・東北・東京・中部,0
20260525,5,北陸・関西・中国,1
20260525,6,システムプライス,
20260525,6,北海道・東北・東京,0
20260525,6,北陸・関西・中国,2
20260525,7,システムプライス,
20260525,7,北海道・東北・東京,0
20260525,7,北陸・関西・中国,2
20260525,8,システムプライス,
20260525,8,北海道・東北・東京,0
20260525,8,北陸・関西・中国・九州,2
20260525,9,システムプライス,
20260525,9,北海道・東北・東京,0
20260525,9,北陸・関西・中国・九州,2
20260525,10,システムプライス,
20260525,10,北海道・東北・東京・中部,0
20260525,10,北陸・関西・中国・九州,1
20260525,11,システムプライス,
20260525,11,北海道・東北・東京・中部,0
20260525,11,北陸・関西・中国・九州,1
20260525,12,システムプライス,
20260525,12,北海道・東北・東京,0
20260525,12,北陸・関西・中国・九州,2
20260525,13,システムプライス,
20260525,13,北海道・東北・東京・中部,0
20260525,13,北陸・関西・中国,1
20260525,14,システムプライス,
20260525,14,東北・東京・中部,1
20260525,14,北陸・関西・中国,2
20260525,15,システムプライス,
20260525,15,北海道・東北,0
20260525,15,東京・中部,1
20260525,15,北陸・関西・中国,2
20260525,16,システムプライス,
20260525,16,北海道・東北,0
20260525,16,北陸・関西・中国・九州,3
20260525,17,システムプライス,
20260525,17,北海道・東北,0
20260525,17,東京・中部・北陸・関西,1
20260525,17,中国・九州,2
20260525,18,システムプライス,
20260525,18,北海道・東北,0
20260525,18,東京・中部・北陸・関西,1
20260525,18,中国・四国・九州,2
20260525,19,システムプライス,
20260525,19,北海道・東北,0
20260525,19,東京・中部・北陸・関西,1
20260525,19,中国・四国・九州,2
20260525,20,システムプライス,
20260525,20,北海道・東北,0
20260525,20,東京・中部・北陸・関西,1
20260525,20,中国・四国・九州,2
20260525,21,システムプライス,
20260525,21,北海道・東北,0
20260525,21,東京・中部・北陸・関西,1
20260525,22,システムプライス,
20260525,22,北海道・東北,0
20260525,22,東京・中部・北陸・関西,1
20260525,23,システムプライス,
20260525,23,北海道・東北,0
20260525,23,東京・中部・北陸・関西,1
20260525,24,システムプライス,
20260525,24,北海道・東北,0
20260525,24,東京・中部・北陸・関西,1
20260525,25,システムプライス,
20260525,25,北海道・東北,0
20260525,25,中部・北陸・関西,2
20260525,26,システムプライス,
20260525,26,北海道・東北,0
20260525,26,中部・北陸・関西,2
20260525,27,システムプライス,
20260525,27,北海道・東北,0
20260525,27,中部・北陸・関西,2
20260525,28,システムプライス,
20260525,28,中部・北陸・関西,3
20260525,29,システムプライス,
20260525,29,北海道・東北,0
20260525,29,中部・北陸・関西,2
20260525,30,システムプライス,
20260525,30,北海道・東北,0
20260525,30,北陸・関西,3
20260525,30,中国・九州,4
20260525,31,システムプライス,
20260525,31,北海道・東北,0
20260525,31,北陸・関西,3
20260525,31,中国・九州,4
20260525,32,システムプライス,
20260525,32,北海道・東北,0
20260525,32,北陸・関西,3
20260525,33,システムプライス,
20260525,33,東京・中部,2
20260525,33,北陸・関西・中国,3
20260525,34,システムプライス,
20260525,34,東北・東京・中部,1
20260525,34,北陸・関西・中国,2
20260525,35,システムプライス,
20260525,35,東北・東京・中部,1
20260525,35,北陸・関西・中国,2
20260525,36,システムプライス,
20260525,36,東北・東京・中部,1
20260525,36,北陸・関西・中国,2
20260525,37,システムプライス,
20260525,37,東北・東京・中部,1
20260525,37,北陸・関西・中国・九州,2
20260525,38,システムプライス,
20260525,38,東北・東京,1
20260525,38,中部・北陸・関西・中国・九州,2
20260525,39,システムプライス,
20260525,39,東北・東京,1
20260525,39,北陸・関西・中国・九州,3
20260525,40,システムプライス,
20260525,40,北海道・東北・東京・中部,0
20260525,40,北陸・関西・中国・九州,1
20260525,41,システムプライス,
20260525,41,北海道・東北・東京・中部,0
20260525,41,北陸・関西・中国・九州,1
20260525,42,システムプライス,
20260525,42,北海道・東北・東京・中部,0
20260525,42,北陸・関西・中国・九州,1
20260525,43,システムプライス,
20260525,43,北海道・東北・東京・中部,0
20260525,43,北陸・関西・中国,1
20260525,44,システムプライス,
20260525,44,北海道・東北・東京・中部,0
20260525,44,北陸・関西・中国・九州,1
20260525,45,システムプライス,
20260525,45,北海道・東北・東京・中部,0
20260525,45,北陸・関西・中国・九州,1
20260525,46,システムプライス,
20260525,46,北海道・東北・東京・中部,0
20260525,46,北陸・関西・中国・九州,1
20260525,47,システムプライス,
20260525,47,北海道・東北・東京・中部,0
20260525,47,北陸・関西・中国・九州,1
20260525,48,システムプライス,
20260525,48,北海道・東北・東京・中部,0
20260525,48,北陸・関西・中国・九州,1
