年月日,時刻コード,回避可能原価全国値(円/kWh),回避可能原価北海道(円/kWh),回避可能原価東北(円/kWh),回避可能原価東京(円/kWh),回避可能原価中部(円/kWh),回避可能原価北陸(円/kWh),回避可能原価関西(円/kWh),回避可能原価中国(円/kWh),回避可能原価四国(円/kWh),回避可能原価九州(円/kWh),FIP参照価格(卸電力取引市場分)全国値(円/kWh),FIP参照価格(卸電力取引市場分)北海道(円/kWh),FIP参照価格(卸電力取引市場分)東北(円/kWh),FIP参照価格(卸電力取引市場分)東京(円/kWh),FIP参照価格(卸電力取引市場分)中部(円/kWh),FIP参照価格(卸電力取引市場分)北陸(円/kWh),FIP参照価格(卸電力取引市場分)関西(円/kWh),FIP参照価格(卸電力取引市場分)中国(円/kWh),FIP参照価格(卸電力取引市場分)四国(円/kWh),FIP参照価格(卸電力取引市場分)九州(円/kWh)
2020/04/01,1,6.43,6.84,6.77,6.76,4.03,4.00,4.00,4.00,4.00,4.00,,,,,,,,,,
2020/04/01,2,5.77,6.63,6.63,6.62,3.75,3.73,3.73,3.73,3.73,3.73,,,,,,,,,,
2020/04/01,3,5.19,6.64,6.61,6.61,4.10,4.09,4.09,4.09,4.09,4.09,,,,,,,,,,
2020/04/01,4,4.87,6.52,6.51,6.51,4.05,4.04,4.04,4.04,4.04,4.04,,,,,,,,,,
2020/04/01,5,4.87,6.52,6.51,6.51,4.10,4.09,4.09,4.09,4.09,4.09,,,,,,,,,,
2020/04/01,6,4.87,8.30,6.50,6.50,4.44,4.43,4.43,4.43,4.43,4.43,,,,,,,,,,
2020/04/01,7,4.50,6.50,6.50,6.50,4.43,4.43,4.43,4.43,4.43,4.43,,,,,,,,,,
2020/04/01,8,4.44,6.51,6.50,6.50,4.05,4.04,4.04,4.04,4.04,4.04,,,,,,,,,,
2020/04/01,9,4.43,6.51,6.50,6.50,4.01,4.00,4.00,4.00,4.00,4.00,,,,,,,,,,
2020/04/01,10,4.35,6.57,6.51,6.51,3.74,3.73,3.75,3.73,3.73,3.73,,,,,,,,,,
2020/04/01,11,4.46,6.63,6.61,6.61,3.74,3.73,3.76,3.73,3.73,3.73,,,,,,,,,,
2020/04/01,12,4.88,6.64,6.62,6.62,4.05,4.04,4.06,4.04,4.04,4.04,,,,,,,,,,
2020/04/01,13,4.88,8.42,8.41,8.41,4.44,4.43,4.44,4.43,4.43,4.43,,,,,,,,,,
2020/04/01,14,5.19,10.13,8.41,8.41,4.45,4.44,4.45,4.44,4.44,4.44,,,,,,,,,,
2020/04/01,15,6.57,10.22,8.65,8.65,4.90,4.87,4.88,4.87,4.87,4.87,,,,,,,,,,
2020/04/01,16,6.86,10.04,8.65,8.66,4.90,4.87,4.88,4.87,4.87,4.87,,,,,,,,,,
2020/04/01,17,7.75,10.14,9.00,9.01,5.86,5.83,5.84,5.83,5.83,5.83,,,,,,,,,,
2020/04/01,18,8.71,11.67,9.19,9.18,7.70,7.69,7.70,7.68,7.69,6.22,,,,,,,,,,
2020/04/01,19,9.43,11.89,10.76,10.76,10.34,10.34,10.32,10.35,10.35,6.22,,,,,,,,,,
2020/04/01,20,9.13,11.99,8.63,10.35,10.34,10.35,10.33,10.35,10.35,6.22,,,,,,,,,,
2020/04/01,21,8.76,11.17,7.75,9.24,9.24,9.24,9.24,9.24,9.24,6.22,,,,,,,,,,
2020/04/01,22,8.69,7.73,7.74,9.25,9.24,9.24,9.24,9.24,9.24,6.22,,,,,,,,,,
2020/04/01,23,8.63,7.59,7.60,9.10,7.70,7.69,7.70,7.69,7.69,6.22,,,,,,,,,,
2020/04/01,24,8.63,7.57,7.58,9.10,7.08,7.06,7.07,7.06,7.06,6.22,,,,,,,,,,
2020/04/01,25,7.39,6.44,6.46,8.85,4.92,4.87,4.90,4.89,4.87,4.87,,,,,,,,,,
2020/04/01,26,7.05,6.46,6.48,8.86,4.91,4.87,4.89,4.88,4.87,4.87,,,,,,,,,,
2020/04/01,27,8.20,8.96,8.96,8.97,5.87,5.83,5.86,5.83,5.83,5.83,,,,,,,,,,
2020/04/01,28,8.52,11.95,8.97,8.97,6.19,6.15,6.18,6.15,6.15,6.15,,,,,,,,,,
2020/04/01,29,8.42,15.94,9.03,9.03,5.23,5.18,5.20,5.18,5.18,5.18,,,,,,,,,,
2020/04/01,30,8.43,9.02,9.03,9.03,4.92,4.87,4.89,4.88,4.87,4.87,,,,,,,,,,
2020/04/01,31,8.42,14.58,9.10,9.10,4.92,4.87,4.88,4.87,4.87,4.87,,,,,,,,,,
2020/04/01,32,8.71,24.80,11.50,11.50,5.86,5.83,5.84,5.83,5.83,5.83,,,,,,,,,,
2020/04/01,33,8.78,11.95,11.62,11.62,7.40,7.40,7.40,7.40,7.40,7.40,,,,,,,,,,
2020/04/01,34,8.87,18.89,11.51,11.50,7.60,7.59,7.59,7.59,7.58,7.40,,,,,,,,,,
2020/04/01,35,8.74,15.97,9.30,9.31,5.23,5.18,5.19,5.18,5.18,5.18,,,,,,,,,,
2020/04/01,36,8.76,11.55,9.30,9.31,5.88,5.83,5.86,5.83,5.83,5.83,,,,,,,,,,
2020/04/01,37,8.83,15.48,9.25,9.25,6.29,6.22,6.24,6.22,6.22,6.22,,,,,,,,,,
2020/04/01,38,8.83,15.39,9.57,9.57,5.92,5.83,5.85,5.83,5.83,5.83,,,,,,,,,,
2020/04/01,39,8.71,19.93,9.30,9.30,5.96,5.89,5.91,5.89,5.88,5.89,,,,,,,,,,
2020/04/01,40,7.69,16.08,9.04,9.05,5.87,5.83,5.84,5.83,5.83,5.83,,,,,,,,,,
2020/04/01,41,7.43,15.97,9.01,9.01,6.24,6.22,6.22,6.22,6.21,6.22,,,,,,,,,,
2020/04/01,42,7.38,11.53,9.00,9.00,5.24,5.18,5.19,5.18,5.18,5.18,,,,,,,,,,
2020/04/01,43,7.40,9.86,8.96,8.95,5.23,5.18,5.19,5.18,5.18,5.18,,,,,,,,,,
2020/04/01,44,6.43,9.85,8.75,8.76,4.90,4.87,4.88,4.87,4.87,4.87,,,,,,,,,,
2020/04/01,45,6.76,8.74,8.72,8.72,4.91,4.87,4.88,4.87,4.87,4.87,,,,,,,,,,
2020/04/01,46,6.44,8.73,8.72,8.71,4.47,4.43,4.44,4.43,4.43,4.43,,,,,,,,,,
2020/04/01,47,6.45,8.61,8.60,8.60,4.09,4.04,4.05,4.04,4.04,4.04,,,,,,,,,,
2020/04/01,48,6.44,8.53,8.52,8.52,3.50,3.45,3.46,3.44,3.44,3.44,,,,,,,,,,
2020/04/02,1,5.91,6.95,6.94,6.94,3.85,3.84,3.83,3.83,3.83,3.83,,,,,,,,,,
2020/04/02,2,5.19,6.95,6.94,6.94,3.65,3.64,3.63,3.63,3.63,3.63,,,,,,,,,,
2020/04/02,3,4.88,7.21,7.21,7.21,4.04,4.03,4.03,4.03,4.03,4.03,,,,,,,,,,
2020/04/02,4,4.87,7.21,7.21,7.21,4.04,4.03,4.03,4.03,4.03,4.03,,,,,,,,,,
