年月日,時刻コード,始値(円/kWh),高値(円/kWh),安値(円/kWh),終値(円/kWh),平均(円/kWh),約定量合計(kWh),約定件数
2020/04/01,1,7.55,9.19,4.87,9.19,6.91,69750,27
2020/04/01,2,6.98,8.46,4.19,7.51,6.57,69050,26
2020/04/01,3,6.75,8.00,4.09,8.00,6.67,56650,27
2020/04/01,4,6.55,8.46,4.04,8.46,6.46,47750,24
2020/04/01,5,6.74,7.95,4.09,7.95,6.38,43650,27
2020/04/01,6,6.64,8.49,4.43,8.10,6.18,40550,31
2020/04/01,7,6.50,8.25,4.43,6.31,5.73,53400,32
2020/04/01,8,6.50,7.90,4.04,6.31,6.34,49000,27
2020/04/01,9,6.50,8.30,4.00,6.40,6.13,47950,30
2020/04/01,10,6.22,8.20,4.00,6.47,6.36,105650,40
2020/04/01,11,6.20,9.36,4.00,6.56,6.36,77150,26
2020/04/01,12,6.60,9.36,4.04,4.30,6.31,78750,29
2020/04/01,13,6.65,10.15,4.30,4.30,6.57,99250,43
2020/04/01,14,6.90,10.46,4.34,4.34,6.40,106300,45
2020/04/01,15,7.58,11.85,4.77,6.98,7.14,96750,36
2020/04/01,16,8.65,11.04,4.77,8.73,7.66,120950,37
2020/04/01,17,9.00,13.05,5.73,9.53,8.60,109100,36
2020/04/01,18,9.17,12.77,6.12,12.69,9.18,134100,54
2020/04/01,19,11.45,13.41,6.12,11.05,9.72,162950,69
2020/04/01,20,11.45,13.10,6.12,10.07,9.80,201400,88
2020/04/01,21,10.34,12.73,6.12,8.00,9.53,201300,78
2020/04/01,22,10.34,11.00,6.12,8.22,9.40,182150,66
2020/04/01,23,7.58,11.09,6.12,8.53,8.94,191600,71
2020/04/01,24,7.56,11.09,6.12,8.19,8.89,183600,72
2020/04/01,25,6.43,11.88,2.87,6.93,8.08,249900,115
2020/04/01,26,11.50,15.41,2.87,6.93,8.22,252000,114
2020/04/01,27,8.99,13.38,4.67,8.40,8.88,227450,99
2020/04/01,28,9.82,13.88,2.00,9.34,8.86,223650,99
2020/04/01,29,9.31,17.05,3.16,9.07,8.13,317950,130
2020/04/01,30,9.54,10.06,4.77,5.02,8.25,267600,116
2020/04/01,31,9.22,15.69,2.87,4.91,8.35,238050,118
2020/04/01,32,13.25,32.00,3.00,9.90,9.22,259900,146
2020/04/01,33,12.68,12.76,5.00,8.83,9.02,238050,131
2020/04/01,34,13.37,18.94,5.37,11.13,9.33,231500,136
2020/04/01,35,10.10,15.00,4.26,8.80,8.43,340700,158
2020/04/01,36,9.86,13.08,5.00,9.25,9.09,322950,156
2020/04/01,37,9.24,15.00,5.20,9.47,8.63,241800,142
2020/04/01,38,9.60,15.40,5.42,8.32,8.55,248300,140
2020/04/01,39,9.63,19.50,5.42,8.76,8.41,233150,111
2020/04/01,40,9.04,15.00,5.00,7.74,7.39,238350,110
2020/04/01,41,9.01,15.00,4.63,7.48,7.18,251750,110
2020/04/01,42,7.21,11.36,5.18,7.70,7.11,190050,72
2020/04/01,43,9.91,11.38,4.98,8.81,7.23,211100,90
2020/04/01,44,8.93,10.75,4.67,7.73,6.95,166800,80
2020/04/01,45,9.63,10.73,4.65,9.85,7.40,187100,90
2020/04/01,46,9.54,9.54,4.34,6.66,6.91,142000,82
2020/04/01,47,9.61,9.61,4.04,8.36,7.21,137250,88
2020/04/01,48,9.28,10.42,3.44,10.42,7.06,118300,83
2020/04/02,1,3.83,9.21,3.83,9.21,6.01,62500,35
2020/04/02,2,3.63,7.23,3.63,7.23,6.14,82900,38
