受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2006/04/01,1,541000,318000,35000,7.50,8.49,8.49,8.49,7.35,7.35,7.35,7.35,7.35,7.35,,,,
2006/04/01,2,541500,235000,35500,7.35,8.48,8.48,8.48,7.29,7.29,7.29,7.29,7.29,7.29,,,,
2006/04/01,3,546000,231500,35000,7.35,8.48,8.48,8.48,7.29,7.29,7.29,7.29,7.29,7.29,,,,
2006/04/01,4,541500,230500,35500,7.34,8.48,8.48,8.48,7.25,7.25,7.25,7.25,7.25,7.25,,,,
2006/04/01,5,541500,229000,35500,7.34,8.48,8.48,8.48,7.25,7.25,7.25,7.25,7.25,7.25,,,,
2006/04/01,6,541500,226000,35500,7.34,8.48,8.48,8.48,7.25,7.25,7.25,7.25,7.25,7.25,,,,
2006/04/01,7,541500,217500,35500,7.35,8.48,8.48,8.48,7.24,7.24,7.24,7.24,7.24,7.24,,,,
2006/04/01,8,541500,216000,35500,7.34,8.48,8.48,8.48,7.24,7.24,7.24,7.24,7.24,7.24,,,,
2006/04/01,9,589000,208500,35500,7.25,8.48,8.48,8.48,7.24,7.24,7.24,7.24,7.24,7.24,,,,
2006/04/01,10,594000,208500,35500,7.34,8.48,8.48,8.48,7.25,7.25,7.25,7.25,7.25,7.25,,,,
2006/04/01,11,594500,209500,36000,7.30,8.48,8.48,8.48,7.25,7.25,7.25,7.25,7.25,7.25,,,,
2006/04/01,12,594500,210000,36000,7.26,8.48,8.48,8.48,7.25,7.25,7.25,7.25,7.25,7.25,,,,
2006/04/01,13,579500,224500,36000,7.30,8.48,8.48,8.48,7.25,7.25,7.25,7.25,7.25,7.25,,,,
2006/04/01,14,584000,221500,33500,7.35,7.50,7.50,7.50,7.25,7.25,7.25,7.25,7.25,7.25,,,,
