年月日,時刻コード,システムプライス,売500MW,買500MW,売1000MW,買1000MW,売5000MW,買5000MW
2026/04/01,1,17.75,16.86,17.93,16.22,18.08,12.26,20.00
2026/04/01,2,14.83,13.50,15.60,12.80,16.17,10.90,18.16
2026/04/01,3,12.70,12.00,14.00,12.00,13.99,9.72,16.22
2026/04/01,4,13.21,12.29,14.83,12.01,14.44,10.50,16.54
2026/04/01,5,14.83,14.00,15.45,13.03,15.20,8.65,17.93
2026/04/01,6,17.01,16.07,17.93,15.60,17.75,10.50,18.61
2026/04/01,7,17.95,17.93,18.50,17.93,18.43,12.59,19.71
2026/04/01,8,19.00,18.44,19.50,18.08,19.44,14.83,20.26
2026/04/01,9,19.65,19.01,19.71,18.61,19.71,14.83,20.45
2026/04/01,10,19.71,19.65,20.06,19.50,20.00,15.52,20.68
2026/04/01,11,20.06,19.71,20.32,19.71,20.26,17.35,20.88
2026/04/01,12,20.29,20.06,20.50,19.71,20.45,17.47,21.01
2026/04/01,13,19.95,19.71,20.26,19.48,20.06,16.12,20.95
2026/04/01,14,19.79,19.52,20.04,19.44,20.01,15.00,20.80
2026/04/01,15,19.00,18.44,19.44,17.95,19.44,14.83,20.28
2026/04/01,16,18.44,17.99,19.24,17.93,19.00,14.83,20.16
2026/04/01,17,21.71,21.43,22.02,21.27,21.98,20.00,23.92
2026/04/01,18,23.82,23.20,25.00,22.88,24.73,20.68,31.45
2026/04/01,19,20.28,20.01,20.47,20.00,20.38,17.76,21.27
2026/04/01,20,20.53,20.38,20.88,20.38,20.68,18.08,21.81
2026/04/01,21,20.96,20.68,21.27,20.68,21.23,19.38,22.50
2026/04/01,22,21.00,20.77,21.45,20.69,21.27,19.38,22.24
2026/04/01,23,21.35,21.00,21.65,21.00,21.65,19.44,22.74
2026/04/01,24,21.51,21.24,21.71,21.23,21.66,19.66,23.00
2026/04/01,25,20.61,20.38,20.96,20.38,20.83,18.08,21.80
2026/04/01,26,20.96,20.80,21.27,20.68,21.23,19.00,22.04
2026/04/01,27,25.00,24.00,27.72,24.00,26.00,21.51,32.58
2026/04/01,28,25.95,24.43,30.00,25.00,28.50,21.71,34.60
2026/04/01,29,31.42,30.84,32.58,31.22,32.39,22.99,34.60
2026/04/01,30,32.00,31.42,34.60,32.39,32.58,23.57,34.60
2026/04/01,31,31.80,31.42,33.51,32.39,32.39,23.99,34.60
2026/04/01,32,30.00,30.00,31.22,30.84,30.84,23.02,34.60
2026/04/01,33,30.84,30.84,32.00,30.84,31.42,23.14,34.60
2026/04/01,34,32.39,32.39,34.60,32.39,34.60,24.00,34.60
2026/04/01,35,30.00,30.00,31.80,30.00,31.42,23.00,34.60
2026/04/01,36,34.60,34.60,34.60,34.60,34.60,27.72,34.60
2026/04/01,37,34.60,34.60,34.60,34.60,34.60,29.00,35.00
2026/04/01,38,34.60,34.60,34.60,34.60,34.60,30.00,35.00
2026/04/01,39,34.60,34.60,34.60,34.60,34.60,25.12,34.60
2026/04/01,40,31.61,31.61,32.39,31.42,32.00,23.60,34.60
2026/04/01,41,24.52,24.52,26.08,24.52,25.50,22.65,32.00
2026/04/01,42,24.50,24.50,26.08,24.38,25.01,22.00,31.80
2026/04/01,43,22.43,22.43,23.00,22.43,22.87,20.98,24.06
2026/04/01,44,21.49,21.49,21.65,21.49,21.65,20.17,22.50
2026/04/01,45,20.95,20.95,21.24,20.88,21.00,19.80,21.85
2026/04/01,46,20.29,20.26,20.45,20.26,20.38,18.65,21.00
2026/04/01,47,20.53,20.53,20.88,20.50,20.68,19.15,21.50
2026/04/01,48,20.29,20.26,20.53,20.26,20.45,17.93,21.50
2026/04/02,1,18.44,18.03,19.24,17.95,19.65,15.94,21.00
2026/04/02,2,16.50,16.07,17.66,15.94,17.93,12.70,20.29
2026/04/02,3,15.94,15.94,16.54,15.94,17.79,12.00,20.06
2026/04/02,4,16.07,15.94,17.00,15.94,17.93,12.25,20.30
2026/04/02,5,16.50,16.07,17.77,15.94,17.93,13.01,20.68
2026/04/02,6,19.00,18.44,19.49,18.08,20.00,15.94,22.50
2026/04/02,7,19.71,19.59,20.00,19.50,20.28,16.78,22.78
2026/04/02,8,19.59,19.31,19.71,19.27,20.06,16.50,22.36
2026/04/02,9,20.06,20.00,20.28,19.85,20.45,17.93,22.99
2026/04/02,10,19.92,19.71,20.25,19.71,20.38,17.93,22.88
2026/04/02,11,20.34,20.28,20.45,20.06,20.80,18.31,23.99
2026/04/02,12,20.57,20.50,20.80,20.45,21.00,18.44,26.69
2026/04/02,13,20.57,20.38,20.88,20.38,20.98,18.00,23.76
2026/04/02,14,20.80,20.57,20.98,20.45,21.34,18.36,23.73
2026/04/02,15,20.95,20.64,21.01,20.57,21.63,18.09,24.14
2026/04/02,16,19.83,19.59,20.11,19.44,20.21,16.00,22.30
2026/04/02,17,20.21,20.06,20.38,19.83,20.64,17.75,22.78
2026/04/02,18,19.26,19.00,19.44,18.50,19.59,15.00,21.85
2026/04/02,19,17.93,17.81,17.95,17.54,17.99,12.96,20.43
2026/04/02,20,16.22,15.60,16.54,15.45,17.05,9.12,20.00
2026/04/02,21,13.50,12.13,15.00,11.68,15.00,8.58,17.54
2026/04/02,22,9.03,8.78,9.12,8.64,9.12,7.86,12.36
2026/04/02,23,8.57,8.39,8.58,8.39,8.58,3.85,9.84
2026/04/02,24,9.03,8.78,9.46,8.78,9.42,8.39,12.52
2026/04/02,25,8.00,8.00,8.14,7.70,8.09,4.00,8.58
2026/04/02,26,6.95,7.40,7.29,6.95,6.88,3.00,8.39
2026/04/02,27,8.78,9.03,8.78,8.78,8.78,8.39,11.12
2026/04/02,28,9.73,10.00,10.45,9.50,11.01,8.39,15.00
2026/04/02,29,8.58,8.39,8.58,8.39,8.78,8.00,12.79
2026/04/02,30,9.81,9.03,10.28,9.03,11.08,8.39,16.50
2026/04/02,31,10.00,9.50,10.82,9.41,11.22,8.58,16.22
2026/04/02,32,15.60,15.00,16.07,15.00,16.54,11.09,19.44
2026/04/02,33,17.93,17.54,18.03,16.95,18.50,11.89,21.04
2026/04/02,34,20.00,19.71,20.46,19.50,21.50,16.22,23.10
2026/04/02,35,20.06,19.71,20.38,19.71,21.01,17.64,23.00
2026/04/02,36,19.71,19.66,20.06,19.66,20.42,17.93,22.45
2026/04/02,37,21.65,21.05,22.27,20.99,22.41,19.00,24.70
2026/04/02,38,21.85,21.28,22.34,21.05,22.41,19.29,25.61
2026/04/02,39,22.28,21.81,22.41,21.62,22.91,19.66,27.64
2026/04/02,40,22.24,21.81,22.41,21.65,22.68,19.66,30.00
2026/04/02,41,22.14,21.78,22.41,21.58,22.41,19.71,25.53
2026/04/02,42,22.27,22.00,22.41,21.82,22.56,19.71,27.00
2026/04/02,43,22.50,22.41,23.00,22.41,23.59,20.29,35.00
2026/04/02,44,22.78,22.43,23.29,22.41,23.86,20.36,40.00
2026/04/02,45,22.41,22.41,22.78,22.31,23.47,20.31,35.00
2026/04/02,46,22.02,21.70,22.41,21.12,22.43,19.66,29.90
2026/04/02,47,22.02,21.37,22.41,21.04,22.45,19.66,30.00
2026/04/02,48,20.28,19.95,20.38,19.71,20.72,17.93,23.71
2026/04/03,1,20.06,20.00,20.26,20.00,20.26,17.93,22.45
2026/04/03,2,19.07,18.61,19.28,18.44,19.28,15.00,20.79
2026/04/03,3,13.00,12.16,14.00,12.00,14.00,9.03,17.93
2026/04/03,4,18.49,18.08,18.61,18.04,18.63,15.00,20.60
2026/04/03,5,19.44,19.38,19.71,19.38,19.71,15.72,21.03
2026/04/03,6,20.06,20.00,20.26,20.00,20.26,18.01,22.82
2026/04/03,7,20.52,20.45,20.53,20.34,20.60,18.44,23.57
2026/04/03,8,20.68,20.53,20.76,20.52,20.76,18.79,23.74
2026/04/03,9,21.00,20.95,21.02,20.91,21.02,19.54,27.72
2026/04/03,10,21.03,21.02,21.85,21.02,22.00,19.81,30.84
2026/04/03,11,22.79,22.60,23.19,22.45,23.19,20.26,32.19
2026/04/03,12,23.22,22.98,23.74,22.98,23.74,20.45,35.00
2026/04/03,13,23.22,22.84,23.60,22.84,23.74,20.34,31.80
2026/04/03,14,20.52,20.34,20.53,20.22,20.53,18.08,23.32
2026/04/03,15,17.76,17.11,17.93,16.31,17.93,11.87,19.87
2026/04/03,16,9.12,9.03,9.35,9.03,9.35,7.35,14.24
2026/04/03,17,8.78,8.65,9.03,8.58,9.03,7.00,13.11
2026/04/03,18,7.86,7.64,8.00,7.10,8.00,2.90,9.03
2026/04/03,19,5.00,4.00,5.01,3.01,5.04,1.00,8.39
2026/04/03,20,5.51,5.00,6.00,4.00,6.26,1.00,8.39
2026/04/03,21,1.50,1.01,2.05,1.00,2.05,0.01,6.51
2026/04/03,22,1.00,0.56,1.00,0.50,1.00,0.01,3.00
2026/04/03,23,0.10,0.04,0.50,0.02,0.50,0.01,2.90
2026/04/03,24,0.01,0.01,0.01,0.01,0.02,0.01,1.34
2026/04/03,25,0.01,0.01,0.01,0.01,0.01,0.01,0.72
2026/04/03,26,0.01,0.01,0.01,0.01,0.01,0.01,1.00
2026/04/03,27,1.00,1.00,1.00,1.00,1.00,0.01,3.30
2026/04/03,28,2.00,1.50,2.05,1.01,2.15,0.01,5.06
2026/04/03,29,1.00,1.00,1.22,1.00,1.22,0.01,4.00
2026/04/03,30,2.85,2.05,2.95,2.00,2.99,0.01,7.70
2026/04/03,31,4.37,3.87,5.00,3.01,5.25,1.00,8.39
2026/04/03,32,10.18,9.73,11.75,9.22,11.75,7.91,15.12
2026/04/03,33,13.00,12.22,14.51,11.92,14.71,8.58,17.11
2026/04/03,34,17.93,17.76,17.95,17.50,17.95,11.87,20.00
2026/04/03,35,19.71,19.48,19.71,18.50,19.71,15.45,20.88
2026/04/03,36,21.53,21.25,21.89,21.01,22.00,19.66,24.81
2026/04/03,37,23.29,23.02,23.76,22.60,23.76,20.52,30.00
2026/04/03,38,22.10,22.00,22.60,21.76,22.60,20.17,27.04
2026/04/03,39,30.00,27.10,30.00,27.07,30.00,21.76,32.19
2026/04/03,40,27.00,25.00,27.05,24.27,27.06,21.00,31.74
2026/04/03,41,23.40,23.30,23.78,23.00,23.87,20.52,31.74
2026/04/03,42,23.99,23.74,24.19,23.27,24.31,20.66,31.74
2026/04/03,43,22.09,22.05,22.44,21.62,22.48,20.17,27.00
2026/04/03,44,19.66,19.66,19.71,19.66,19.71,17.93,20.50
2026/04/03,45,19.66,19.66,19.71,19.66,19.71,17.66,20.52
2026/04/03,46,19.44,19.23,19.66,19.00,19.66,16.35,20.30
2026/04/03,47,20.57,20.52,20.73,20.52,20.80,19.66,22.67
2026/04/03,48,20.26,20.00,20.35,19.94,20.35,18.56,22.00
2026/04/04,1,17.88,17.66,18.25,17.22,18.47,14.67,20.75
2026/04/04,2,17.35,17.15,17.88,17.04,18.37,14.22,20.81
2026/04/04,3,17.01,16.97,17.15,16.54,17.38,12.30,20.00
2026/04/04,4,17.15,16.86,17.23,15.78,17.79,12.30,19.72
2026/04/04,5,17.15,16.88,17.38,16.65,17.95,13.64,20.05
2026/04/04,6,17.90,17.23,18.07,17.15,18.50,14.67,20.92
2026/04/04,7,18.07,17.90,18.47,17.69,18.68,15.00,21.37
2026/04/04,8,18.46,18.16,18.67,18.00,18.81,16.00,21.80
2026/04/04,9,18.67,18.60,18.87,18.26,19.08,16.99,22.50
2026/04/04,10,18.73,18.60,18.87,18.26,19.08,16.88,22.14
2026/04/04,11,18.82,18.68,19.09,18.56,19.60,17.15,22.00
2026/04/04,12,18.25,18.06,18.61,17.90,18.68,15.00,20.67
2026/04/04,13,17.15,17.15,17.38,16.90,17.90,12.04,20.00
2026/04/04,14,15.01,14.57,15.29,14.08,16.34,10.46,18.53
2026/04/04,15,16.54,15.15,16.88,15.00,17.15,11.08,18.88
2026/04/04,16,14.60,14.18,15.01,13.31,15.50,10.00,18.11
2026/04/04,17,16.00,15.29,16.76,15.00,17.15,10.90,18.73
2026/04/04,18,17.15,16.94,17.15,16.52,17.24,12.00,19.00
2026/04/04,19,17.23,17.22,17.80,17.15,17.90,15.00,19.51
2026/04/04,20,17.23,17.15,17.66,17.15,17.68,15.00,19.36
2026/04/04,21,15.01,15.00,15.78,14.57,16.32,11.82,18.07
2026/04/04,22,17.90,17.88,18.07,17.38,18.23,16.32,20.35
2026/04/04,23,15.15,15.01,16.00,15.00,16.69,12.04,18.68
2026/04/04,24,17.68,17.38,17.93,17.15,18.07,15.68,20.18
2026/04/04,25,17.15,17.15,17.38,16.94,17.84,15.00,20.00
2026/04/04,26,16.86,16.35,17.00,15.78,17.15,14.00,19.09
2026/04/04,27,17.15,16.88,17.15,16.54,17.22,14.50,19.51
2026/04/04,28,15.01,15.00,15.78,14.68,16.54,11.82,18.61
2026/04/04,29,17.22,17.15,17.59,17.00,17.88,15.00,20.00
2026/04/04,30,17.15,16.88,17.15,16.00,17.38,14.47,19.09
2026/04/04,31,17.88,17.69,17.95,17.50,18.07,15.01,20.27
2026/04/04,32,18.30,18.07,18.53,17.90,18.73,16.32,21.25
2026/04/04,33,17.54,17.37,17.90,17.15,18.00,14.43,20.71
2026/04/04,34,17.22,17.15,17.50,16.76,17.80,14.00,20.25
2026/04/04,35,17.94,17.77,18.07,17.50,18.36,15.15,20.75
2026/04/04,36,18.14,17.94,18.38,17.79,19.00,16.69,21.23
2026/04/04,37,18.02,17.91,18.07,17.54,18.25,16.00,21.02
2026/04/04,38,18.01,17.93,18.07,17.54,18.21,15.82,20.79
2026/04/04,39,18.02,17.93,18.07,17.54,18.38,16.50,20.63
2026/04/04,40,17.98,17.54,18.03,17.25,18.07,15.29,20.00
2026/04/04,41,17.38,17.15,17.77,16.76,17.93,14.43,19.66
2026/04/04,42,17.15,17.15,17.54,16.59,17.90,12.00,19.08
2026/04/04,43,16.88,16.66,17.15,16.50,17.38,12.01,18.73
2026/04/04,44,16.34,15.01,16.68,14.47,16.88,11.08,18.41
2026/04/04,45,13.89,12.42,14.49,11.99,15.00,10.30,17.93
2026/04/04,46,12.00,11.82,12.41,11.08,13.80,10.00,17.22
2026/04/04,47,11.08,10.54,11.92,10.24,12.00,9.54,16.88
2026/04/04,48,11.00,10.23,11.09,10.22,11.88,9.18,16.99
2026/04/05,1,13.79,13.00,14.43,12.00,14.66,8.61,18.47
2026/04/05,2,11.81,11.81,12.00,10.01,12.33,8.40,17.22
2026/04/05,3,10.01,10.02,11.73,9.23,12.00,8.07,17.21
2026/04/05,4,11.63,11.69,11.84,9.94,12.00,8.40,17.35
2026/04/05,5,12.01,11.90,12.31,11.59,13.50,8.61,18.18
2026/04/05,6,14.66,14.43,15.01,13.20,15.46,9.15,18.81
2026/04/05,7,15.94,15.73,16.76,15.00,17.00,11.01,19.09
2026/04/05,8,15.94,15.15,16.54,14.57,17.00,9.50,18.96
2026/04/05,9,15.94,15.50,15.94,15.00,16.76,10.24,18.75
2026/04/05,10,15.94,15.94,16.54,15.51,17.00,11.08,18.96
2026/04/05,11,17.00,16.54,17.18,15.12,17.35,10.62,19.86
2026/04/05,12,15.01,14.43,15.90,13.00,17.00,10.01,18.95
2026/04/05,13,13.50,12.73,13.50,12.49,14.50,9.13,17.50
2026/04/05,14,10.00,9.18,10.00,9.03,10.22,7.50,12.91
2026/04/05,15,8.00,7.81,8.00,7.34,8.07,2.70,10.00
2026/04/05,16,8.40,8.30,8.40,8.25,8.61,3.50,10.54
2026/04/05,17,7.63,6.93,8.00,5.00,8.07,1.01,10.23
2026/04/05,18,2.00,1.01,2.70,1.00,2.70,0.01,7.84
2026/04/05,19,2.01,1.01,2.70,1.00,2.70,0.01,7.30
2026/04/05,20,0.50,0.10,1.00,0.02,1.00,0.01,3.01
2026/04/05,21,0.01,0.01,0.01,0.01,0.02,0.01,2.50
2026/04/05,22,0.01,0.01,0.01,0.01,0.01,0.01,0.50
2026/04/05,23,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2026/04/05,24,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2026/04/05,25,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2026/04/05,26,0.01,0.01,0.01,0.01,0.01,0.01,0.02
2026/04/05,27,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2026/04/05,28,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2026/04/05,29,0.01,0.01,0.01,0.01,0.01,0.01,0.27
2026/04/05,30,0.01,0.01,0.01,0.01,0.02,0.01,2.70
2026/04/05,31,1.00,0.51,1.32,0.10,2.05,0.01,6.92
2026/04/05,32,2.05,1.01,2.70,1.00,2.70,0.01,8.00
