年月日,時刻コード,システムプライス,売500MW,買500MW,売1000MW,買1000MW,売5000MW,買5000MW
2021/04/01,1,5.63,5.63,5.63,5.63,5.73,4.96,7.89
2021/04/01,2,5.63,5.63,5.63,5.39,5.63,4.91,7.56
2021/04/01,3,5.49,5.49,5.49,5.32,5.63,4.88,5.82
2021/04/01,4,5.49,5.49,5.49,5.31,5.63,4.87,6.37
2021/04/01,5,5.56,5.56,5.56,5.38,5.63,4.94,7.36
2021/04/01,6,5.63,5.56,5.63,5.38,5.68,5.04,7.38
2021/04/01,7,5.63,5.52,5.63,5.36,5.68,5.07,7.37
2021/04/01,8,5.68,5.63,5.63,5.52,5.88,5.07,7.37
2021/04/01,9,5.75,5.75,5.75,5.68,5.88,5.16,7.40
2021/04/01,10,5.88,5.75,5.88,5.69,6.14,5.16,7.40
2021/04/01,11,5.88,5.88,5.88,5.68,7.11,5.20,7.38
2021/04/01,12,5.88,5.88,5.88,5.63,6.73,5.25,7.38
2021/04/01,13,5.88,5.88,5.88,5.68,6.38,5.07,7.34
2021/04/01,14,5.70,5.66,5.68,5.55,5.88,4.96,7.24
2021/04/01,15,5.43,5.43,5.43,5.38,5.46,4.86,5.63
2021/04/01,16,5.43,5.38,5.43,5.17,5.55,4.42,5.63
2021/04/01,17,5.45,5.34,5.47,5.26,5.63,4.22,5.63
2021/04/01,18,5.45,5.39,5.45,5.26,5.63,4.37,5.63
2021/04/01,19,5.37,5.21,5.41,5.13,5.43,4.26,5.63
2021/04/01,20,5.13,4.98,5.16,4.96,5.29,3.98,5.41
2021/04/01,21,4.91,4.84,4.93,4.72,5.01,3.98,5.16
2021/04/01,22,4.60,4.42,4.72,4.30,4.84,3.61,5.04
2021/04/01,23,4.74,4.74,4.84,4.65,4.84,3.39,5.04
2021/04/01,24,4.65,4.42,4.65,4.42,4.74,3.36,4.92
2021/04/01,25,3.62,3.58,3.62,3.55,4.03,0.01,4.76
2021/04/01,26,3.62,3.58,3.62,3.56,4.21,0.01,4.76
2021/04/01,27,4.24,4.02,4.24,3.98,4.25,1.00,4.84
